ref_value,item_id,stat_property,stat_value,author_type,publisher_type,publisher_verification,authoritative,predicted_authoritative
http://www.ted.com/speakers/1847,Q23728757,P106,Q5716684,Organisation,Company or organisation,,0,1
http://m.timesofindia.com/india/Congress-releases-first-list-of-candidates-for-Lok-Sabha-polls/articleshow/31682561.cms,Q1391255,P106,Q82955,Organisation,News and media outlet,,1,1
http://en.mediamass.net/people/jean-michel-jarre/deathhoax.html,Q104326,P106,Q639669,Individual,News and media outlet,,0,1
http://newspapers.library.wales/view/3764400/3764408/95/,Q24266615,P108,Q13132364,Organisation,News and media outlet,,1,1
http://www.newyorker.com/contributors/mary-norris,Q20979342,P108,Q217305,Individual,News and media outlet,,0,1
http://www.oxfordmusiconline.com/subscriber/article/grove/music/01649,Q16173214,P108,Q5132172,Page not working,Company or organisation,,1,1
http://www.bristol.ac.uk/efm/people/kenneth-g-binmore/,Q593714,P108,Q459506,Organisation,Academic institution,,0,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q115428,P1082,+34676,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q115428,P1082,+34676,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q26591,P1082,+38701,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q61042,P1082,+13505,Page not working,Government agencies,,1,1
http://www.cdc.gov/niosh/npg/npgd0162.html,Q21174113,P636,Q4669896,Organisation,Government agencies,,0,1
http://www.cdc.gov/niosh/ershdb/emergencyresponsecard_29750039.html,Q21174113,P780,Q3026331,Organisation,Government agencies,,0,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q507000,P1082,+24441,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q111686,P1082,+34789,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q501029,P1082,+303310,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q504441,P1082,+110232,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q496900,P1082,+1538497,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q26895,P1082,+652365,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q486060,P1082,+11961,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q485600,P1082,+536910,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q488853,P1082,+194215,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q495633,P1082,+116692,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q506068,P1082,+91764,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q156220,P1082,+38538,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q503486,P1082,+64141,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q495958,P1082,+11591,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q26527,P1082,+32114,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q491184,P1082,+15111,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q484755,P1082,+12905,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q484755,P1082,+12905,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q494494,P1082,+12811,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q494494,P1082,+12811,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q506215,P1082,+952143,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q506215,P1082,+952143,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q156291,P1082,+1223749,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q484780,P1082,+17880,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q336322,P1082,+101064,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q506326,P1082,+30495,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q501140,P1082,+143816,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q491976,P1082,+74319,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q376876,P1082,+3162,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q49289,P1082,+33184,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q49289,P1082,+33184,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q484391,P1082,+83306,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q108494,P1082,+800647,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q490029,P1082,+28780,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q490029,P1082,+28780,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q26807,P1082,+881419,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q26807,P1082,+881419,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q1139827,P1082,+11604,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q500698,P1082,+37451,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q507336,P1082,+15936,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q156632,P1082,+6509,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q501043,P1082,+623009,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q502487,P1082,+17566,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q502487,P1082,+17566,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q111250,P1082,+57742,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q111250,P1082,+57742,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q111250,P1082,+57742,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q484586,P1082,+6016,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q153251,P1082,+146464,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q502431,P1082,+137651,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q502451,P1082,+126946,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q61020,P1082,+237297,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q111633,P1082,+5079,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q28321,P1082,+874,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q486458,P1082,+17808,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q485524,P1082,+175217,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q485715,P1082,+10788,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q486243,P1082,+46181,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q513792,P1082,+28259,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q513792,P1082,+28259,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q61481,P1082,+17049,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q486048,P1082,+35610,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q500767,P1082,+31790,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q847673,P1082,+9284,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q847673,P1082,+9284,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q490966,P1082,+16234,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q114923,P1082,+80317,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q374382,P1082,+2550,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q505359,P1082,+24505,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q58711,P1082,+212530,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q496486,P1082,+25195,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q502516,P1082,+10650,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q493033,P1082,+15194,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q54079,P1082,+682078,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q489729,P1082,+3821,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q27018,P1082,+169013,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q110389,P1082,+25792,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q108077,P1082,+1138,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q104994,P1082,+9951690,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q104994,P1082,+9885201,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q484505,P1082,+9205,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q494923,P1082,+29376,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q494923,P1082,+29376,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q494923,P1082,+29376,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q489687,P1082,+3812,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q500897,P1082,+20644,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q111904,P1082,+60497,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q500686,P1082,+13491,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q488517,P1082,+544224,Page not working,Government agencies,,1,1
http://quickfacts.census.gov/qfd/states/06/0606000.html,Q484678,P1082,+112580,Page not working,Page not working,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q490161,P1082,+28849,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q502875,P1082,+162694,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q38022,P1082,+319294,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q498104,P1082,+23422,Page not working,Government agencies,,1,1
http://www2.census.gov/prod2/decennial/documents/1790a.zip,Q1871330,P1082,+211,Page not working,Government agencies,,1,1
http://www2.census.gov/prod2/decennial/documents/1890a_v1.zip,Q1871330,P1082,+1828,Organisation,Government agencies,,0,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q487534,P1082,+20444,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q288592,P1082,+93972,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q142369,P1082,+519445,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q142369,P1082,+519445,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q486293,P1082,+29546,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q507892,P1082,+20442,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q376113,P1082,+4847,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q49231,P1082,+246007,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q489420,P1082,+187126,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q54441,P1082,+123880,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q54441,P1082,+123880,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q495479,P1082,+45035,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q156471,P1082,+251306,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q284840,P1082,+37830,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q486920,P1082,+29013,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q485463,P1082,+7541,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q489571,P1082,+61466,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q501163,P1082,+381626,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q112488,P1082,+6672,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q489779,P1082,+18483,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q114459,P1082,+15589,Page not working,Government agencies,,1,1
https://ratings.fide.com/id.phtml?event=4636945,Q1188982,P1087,+2465,Page not working,Company or organisation,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q24645,P1082,+200563,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q494536,P1082,+22461,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q156496,P1082,+23732,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q156496,P1082,+23732,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q507016,P1082,+21752,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q302852,P1082,+45849,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q340606,P1082,+28040,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q340606,P1082,+28040,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q491221,P1082,+77059,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q492310,P1082,+6685,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q110130,P1082,+152466,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q497938,P1082,+174801,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q503468,P1082,+2216,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q111886,P1082,+25699,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q253538,P1082,+10020,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q61472,P1082,+8715,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q156253,P1082,+3998,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q504284,P1082,+36240,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q119372,P1082,+17767,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q119372,P1082,+17767,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q504842,P1082,+8711,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q485402,P1082,+14288,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q485402,P1082,+14288,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q484304,P1082,+5660,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q112220,P1082,+114322,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q490443,P1082,+9726,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q494716,P1082,+6350,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q506309,P1082,+63429,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q110750,P1082,+1307,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q203049,P1082,+22311,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q112953,P1082,+210288,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q488810,P1082,+8848,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q109681,P1082,+98267,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q496685,P1082,+6065,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q503551,P1082,+9023,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q113117,P1082,+13717,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q506235,P1082,+95517,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q502503,P1082,+57713,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q383739,P1082,+26804,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q487605,P1082,+222327,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q486651,P1082,+10990,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q248521,P1082,+6115,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q501036,P1082,+41551,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q507126,P1082,+9049,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q48917,P1082,+3487,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q133853,P1082,+281869,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q484349,P1082,+783,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q503064,P1082,+22715,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q492355,P1082,+26523,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q484567,P1082,+27883,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q500317,P1082,+5756,Page not working,Government agencies,,1,1
http://www.census.gov/popest/data/counties/totals/2013/files/CO-EST2013-Alldata.csv,Q192992,P1082,+10059,Page not working,Government agencies,,1,1
