ref_value,label_pub,LLM_model_prompt
http://library.la84.org,academia,results_mistral:latest_prompt_5_metadata
http://library.leeds.ac.uk,academia,results_mistral:latest_prompt_5_metadata
http://lists.alioth.debian.org,other,results_mistral:latest_prompt_5_metadata
http://lists.claws-mail.org,other,results_mistral:latest_prompt_5_metadata
http://lists.freebsd.org,other,results_mistral:latest_prompt_5_metadata
http://lists.nongnu.org,sp_source,results_mistral:latest_prompt_5_metadata
http://lists.torproject.org,sp_source,results_mistral:latest_prompt_5_metadata
http://m.timesofindia.com,news,results_mistral:latest_prompt_5_metadata
http://mail-archives.apache.org,company,results_mistral:latest_prompt_5_metadata
http://movie-locations.com,company,results_mistral:latest_prompt_5_metadata
http://movieweb.com,company,results_mistral:latest_prompt_5_metadata
http://mpse.org,sp_source,results_mistral:latest_prompt_5_metadata
http://museedelaresistanceenligne.org,sp_source,results_mistral:latest_prompt_5_metadata
http://nablus.org,govt,results_mistral:latest_prompt_5_metadata
http://new.liveauctioneers.com,company,results_mistral:latest_prompt_5_metadata
http://olat.org,academia,results_mistral:latest_prompt_5_metadata
http://phoronix.com,news,results_mistral:latest_prompt_5_metadata
http://planetarynames.wr.usgs.gov,govt,results_mistral:latest_prompt_5_metadata
http://pubchem.ncbi.nlm.nih.gov,academia,results_mistral:latest_prompt_5_metadata
http://puppet.com,company,results_mistral:latest_prompt_5_metadata
http://ratings.fide.com,company,results_mistral:latest_prompt_5_metadata
http://runeberg.org,academia,results_mistral:latest_prompt_5_metadata
http://sourceforge.net,company,results_mistral:latest_prompt_5_metadata
http://spamassassin.apache.org,company,results_mistral:latest_prompt_5_metadata
http://specialcollections.le.ac.uk,academia,results_mistral:latest_prompt_5_metadata
http://speedskatingstats.com,company,results_mistral:latest_prompt_5_metadata
http://splitsider.com,news,results_mistral:latest_prompt_5_metadata
http://sports.yahoo.com,company,results_mistral:latest_prompt_5_metadata
http://support.google.com,company,results_mistral:latest_prompt_5_metadata
http://thedancingrest.com,company,results_mistral:latest_prompt_5_metadata
http://tools.ietf.org,company,results_mistral:latest_prompt_5_metadata
http://uk.soccerway.com,company,results_mistral:latest_prompt_5_metadata
http://viaf.org,academia,results_mistral:latest_prompt_5_metadata
http://vimeo.com,company,results_mistral:latest_prompt_5_metadata
http://vocab.getty.edu,academia,results_mistral:latest_prompt_5_metadata
http://wbo.llgc.org.uk,academia,results_mistral:latest_prompt_5_metadata
http://web.archive.org,other,results_mistral:latest_prompt_5_metadata
http://welt-der-form.net,academia,results_mistral:latest_prompt_5_metadata
http://whc.unesco.org,govt,results_mistral:latest_prompt_5_metadata
http://www.4shared.com,company,results_mistral:latest_prompt_5_metadata
http://www.aada.edu,academia,results_mistral:latest_prompt_5_metadata
http://www.allmusic.com,company,results_mistral:latest_prompt_5_metadata
http://www.arabianbusiness.com,company,results_mistral:latest_prompt_5_metadata
http://www.archive.org,other,results_mistral:latest_prompt_5_metadata
http://www.archlinux.org,company,results_mistral:latest_prompt_5_metadata
http://www.artistdirect.com,company,results_mistral:latest_prompt_5_metadata
http://www.artsjournal.com,news,results_mistral:latest_prompt_5_metadata
http://www.audacityteam.org,company,results_mistral:latest_prompt_5_metadata
http://www.bbc.co.uk,news,results_mistral:latest_prompt_5_metadata
http://www.billgladstone.ca,company,results_mistral:latest_prompt_5_metadata
http://www.bindingdb.org,academia,results_mistral:latest_prompt_5_metadata
http://www.bizjournals.com,company,results_mistral:latest_prompt_5_metadata
http://www.blackfilm.com,news,results_mistral:latest_prompt_5_metadata
http://www.blakeschool.org,company,results_mistral:latest_prompt_5_metadata
http://www.blend4web.com,company,results_mistral:latest_prompt_5_metadata
http://www.boxofficemojo.com,company,results_mistral:latest_prompt_5_metadata
http://www.bristol.ac.uk,academia,results_mistral:latest_prompt_5_metadata
http://www.britannica.com,company,results_mistral:latest_prompt_5_metadata
http://www.brooklynmuseum.org,company,results_mistral:latest_prompt_5_metadata
http://www.bvbinfo.com,company,results_mistral:latest_prompt_5_metadata
http://www.canada.com,company,results_mistral:latest_prompt_5_metadata
http://www.catholic-hierarchy.org,academia,results_mistral:latest_prompt_5_metadata
http://www.cb300.com,company,results_mistral:latest_prompt_5_metadata
http://www.cdbaby.com,company,results_mistral:latest_prompt_5_metadata
http://www.census.gov,govt,results_mistral:latest_prompt_5_metadata
http://www.ciaaw.org,academia,results_mistral:latest_prompt_5_metadata
http://www.clsp.jhu.edu,academia,results_mistral:latest_prompt_5_metadata
http://www.coolantarctica.com,company,results_mistral:latest_prompt_5_metadata
http://www.crawltrack.net,company,results_mistral:latest_prompt_5_metadata
http://www.crunchbase.com,company,results_mistral:latest_prompt_5_metadata
http://www.dbnl.org,academia,results_mistral:latest_prompt_5_metadata
http://www.debian.org,company,results_mistral:latest_prompt_5_metadata
http://www.demotix.com,company,results_mistral:latest_prompt_5_metadata
http://www.dubaicityguide.com,company,results_mistral:latest_prompt_5_metadata
http://www.e-yearbook.com,company,results_mistral:latest_prompt_5_metadata
http://www.edanhughes.com,company,results_mistral:latest_prompt_5_metadata
http://www.entente-ee.com,company,results_mistral:latest_prompt_5_metadata
http://www.esrb.org,company,results_mistral:latest_prompt_5_metadata
http://www.eurodressage.com,news,results_mistral:latest_prompt_5_metadata
http://www.eurohandball.com,company,results_mistral:latest_prompt_5_metadata
http://www.europarl.europa.eu,govt,results_mistral:latest_prompt_5_metadata
http://www.filmovizija.com,company,results_mistral:latest_prompt_5_metadata
http://www.filmreference.com,academia,results_mistral:latest_prompt_5_metadata
http://www.fromages-aop.com,company,results_mistral:latest_prompt_5_metadata
http://www.fundacionbancosantander.com,company,results_mistral:latest_prompt_5_metadata
http://www.futhead.com,company,results_mistral:latest_prompt_5_metadata
http://www.gc-cup.com,company,results_mistral:latest_prompt_5_metadata
http://www.geni.com,company,results_mistral:latest_prompt_5_metadata
http://www.genome.gov,govt,results_mistral:latest_prompt_5_metadata
http://www.geopostcodes.com,company,results_mistral:latest_prompt_5_metadata
http://www.getty.edu,academia,results_mistral:latest_prompt_5_metadata
http://www.gmv.com,company,results_mistral:latest_prompt_5_metadata
http://www.gracesguide.co.uk,history,results_mistral:latest_prompt_5_metadata
http://www.guggenheim.org,company,results_mistral:latest_prompt_5_metadata
http://www.hardcoregamer.com,company,results_mistral:latest_prompt_5_metadata
http://www.henry-moore.org,company,results_mistral:latest_prompt_5_metadata
http://www.hewlett.org,sp_source,results_mistral:latest_prompt_5_metadata
http://www.huffingtonpost.com,news,results_mistral:latest_prompt_5_metadata
http://www.independent.co.uk,news,results_mistral:latest_prompt_5_metadata
http://www.instagram.com,company,results_mistral:latest_prompt_5_metadata
http://www.issf-sports.org,other,results_mistral:latest_prompt_5_metadata
http://www.ittf.com,company,results_mistral:latest_prompt_5_metadata
http://www.itu.int,govt,results_mistral:latest_prompt_5_metadata
http://www.johnkcastle.com,company,results_mistral:latest_prompt_5_metadata
http://www.jrrio.com,company,results_mistral:latest_prompt_5_metadata
http://www.judoinside.com,news,results_mistral:latest_prompt_5_metadata
http://www.kde.org,company,results_mistral:latest_prompt_5_metadata
http://www.khronos.org,company,results_mistral:latest_prompt_5_metadata
http://www.laquadrature.net,sp_source,results_mistral:latest_prompt_5_metadata
http://www.leparcorama.com,company,results_mistral:latest_prompt_5_metadata
http://www.leshommessansepaules.com,academia,results_mistral:latest_prompt_5_metadata
http://www.liferay.com,company,results_mistral:latest_prompt_5_metadata
http://www.livius.org,academia,results_mistral:latest_prompt_5_metadata
http://www.lulu.com,company,results_mistral:latest_prompt_5_metadata
http://www.lynnnews.co.uk,news,results_mistral:latest_prompt_5_metadata
http://www.mba.ac.uk,academia,results_mistral:latest_prompt_5_metadata
http://www.metalstorm.net,news,results_mistral:latest_prompt_5_metadata
http://www.metmuseum.org,company,results_mistral:latest_prompt_5_metadata
http://www.microsofttranslator.com,company,results_mistral:latest_prompt_5_metadata
http://www.mozilla.org,company,results_mistral:latest_prompt_5_metadata
http://www.nationalgallery.org.uk,company,results_mistral:latest_prompt_5_metadata
http://www.nationaltrustcollections.org.uk,company,results_mistral:latest_prompt_5_metadata
http://www.ncbi.nlm.nih.gov,govt,results_mistral:latest_prompt_5_metadata
http://www.newyorker.com,news,results_mistral:latest_prompt_5_metadata
http://www.nfl.com,company,results_mistral:latest_prompt_5_metadata
http://www.nga.gov,govt,results_mistral:latest_prompt_5_metadata
http://www.nndb.com,other,results_mistral:latest_prompt_5_metadata
http://www.nndc.bnl.gov,academia,results_mistral:latest_prompt_5_metadata
http://www.nytimes.com,news,results_mistral:latest_prompt_5_metadata
http://www.openvas.org,company,results_mistral:latest_prompt_5_metadata
http://www.pafa.org,academia,results_mistral:latest_prompt_5_metadata
http://www.parlement.com,govt,results_mistral:latest_prompt_5_metadata
http://www.pastscape.org.uk,govt,results_mistral:latest_prompt_5_metadata
http://www.phillipscollection.org,company,results_mistral:latest_prompt_5_metadata
http://www.planetehockey.com,news,results_mistral:latest_prompt_5_metadata
http://www.poetsgraves.co.uk,academia,results_mistral:latest_prompt_5_metadata
http://www.procyclingstats.com,company,results_mistral:latest_prompt_5_metadata
http://www.profilecanada.com,company,results_mistral:latest_prompt_5_metadata
http://www.progarchives.com,other,results_mistral:latest_prompt_5_metadata
http://www.rada.ac.uk,academia,results_mistral:latest_prompt_5_metadata
http://www.redmine.org,company,results_mistral:latest_prompt_5_metadata
http://www.redorbit.com,company,results_mistral:latest_prompt_5_metadata
http://www.rhapsody.com,company,results_mistral:latest_prompt_5_metadata
http://www.rio2016.com,company,results_mistral:latest_prompt_5_metadata
http://www.salvador-dali.org,company,results_mistral:latest_prompt_5_metadata
http://www.salzburg.com,news,results_mistral:latest_prompt_5_metadata
http://www.scottisharchitects.org.uk,academia,results_mistral:latest_prompt_5_metadata
http://www.sothebys.com,company,results_mistral:latest_prompt_5_metadata
http://www.sports-reference.com,company,results_mistral:latest_prompt_5_metadata
http://www.sufyanismail.com,other,results_mistral:latest_prompt_5_metadata
http://www.telegraph.co.uk,news,results_mistral:latest_prompt_5_metadata
http://www.thegazette.co.uk,govt,results_mistral:latest_prompt_5_metadata
http://www.thestar.com,news,results_mistral:latest_prompt_5_metadata
http://www.thetalentmanager.co.uk,company,results_mistral:latest_prompt_5_metadata
http://www.thetelegraphandargus.co.uk,news,results_mistral:latest_prompt_5_metadata
http://www.thnk.org,company,results_mistral:latest_prompt_5_metadata
http://www.transsiberianexpress.net,company,results_mistral:latest_prompt_5_metadata
http://www.unesco.org,govt,results_mistral:latest_prompt_5_metadata
http://www.valpo.edu,academia,results_mistral:latest_prompt_5_metadata
http://www.vanitatis.elconfidencial.com,news,results_mistral:latest_prompt_5_metadata
http://www.viaf.org,academia,results_mistral:latest_prompt_5_metadata
http://www.virtualbox.org,company,results_mistral:latest_prompt_5_metadata
http://www.washingtonpost.com,news,results_mistral:latest_prompt_5_metadata
http://www.webcitation.org,company,results_mistral:latest_prompt_5_metadata
http://www.who.int,govt,results_mistral:latest_prompt_5_metadata
http://www.wireshark.org,company,results_mistral:latest_prompt_5_metadata
http://www.xkcd.com,company,results_mistral:latest_prompt_5_metadata
http://yba.llgc.org.uk,academia,results_mistral:latest_prompt_5_metadata
http://yum.baseurl.org,company,results_mistral:latest_prompt_5_metadata
http://zenekucko.ucoz.com,other,results_mistral:latest_prompt_5_metadata
http://addons.mozilla.org,company,results_llama3.2_prompt_4_metadata
http://americanart.si.edu,company,results_llama3.2_prompt_4_metadata
http://archive.org,company,results_llama3.2_prompt_4_metadata
http://art.famsf.org,company,results_llama3.2_prompt_4_metadata
http://backuppc.cvs.sourceforge.net,company,results_llama3.2_prompt_4_metadata
http://bbti.bodleian.ox.ac.uk,company,results_llama3.2_prompt_4_metadata
http://blog.mathieui.net,company,results_llama3.2_prompt_4_metadata
http://blog.torproject.org,company,results_llama3.2_prompt_4_metadata
http://blogs.windows.com,company,results_llama3.2_prompt_4_metadata
http://books.google.co.uk,company,results_llama3.2_prompt_4_metadata
http://bse.sci-lib.com,company,results_llama3.2_prompt_4_metadata
http://chem.nlm.nih.gov,govt,results_llama3.2_prompt_4_metadata
http://collection.cooperhewitt.org,company,results_llama3.2_prompt_4_metadata
http://collections.artsmia.org,company,results_llama3.2_prompt_4_metadata
http://collections.britishart.yale.edu,company,results_llama3.2_prompt_4_metadata
http://collections.lacma.org,company,results_llama3.2_prompt_4_metadata
http://commons.wikimedia.org,company,results_llama3.2_prompt_4_metadata
http://daccess-ods.un.org,govt,results_llama3.2_prompt_4_metadata
http://dirigeant.societe.com,company,results_llama3.2_prompt_4_metadata
http://download.gnome.org,nw,results_llama3.2_prompt_4_metadata
http://electronicintifada.net,sp_source,results_llama3.2_prompt_4_metadata
http://en.mediamass.net,company,results_llama3.2_prompt_4_metadata
http://en.wikisource.org,company,results_llama3.2_prompt_4_metadata
http://eprints.lancs.ac.uk,academia,results_llama3.2_prompt_4_metadata
http://fdrmx.com,company,results_llama3.2_prompt_4_metadata
http://fedoraproject.org,company,results_llama3.2_prompt_4_metadata
http://feed.snapdo.com,company,results_llama3.2_prompt_4_metadata
http://ffilms.org,company,results_llama3.2_prompt_4_metadata
http://fie.org,company,results_llama3.2_prompt_4_metadata
http://firstcycling.com,sp_source,results_llama3.2_prompt_4_metadata
http://flickfacts.com,company,results_llama3.2_prompt_4_metadata
http://flymotorsich.com,company,results_llama3.2_prompt_4_metadata
http://fmg.ac,company,results_llama3.2_prompt_4_metadata
http://forums.comodo.com,company,results_llama3.2_prompt_4_metadata
http://freemind.sourceforge.net,company,results_llama3.2_prompt_4_metadata
http://ftp.debian-ports.org,nw,results_llama3.2_prompt_4_metadata
http://geonames.usgs.gov,govt,results_llama3.2_prompt_4_metadata
http://github.com,company,results_llama3.2_prompt_4_metadata
http://groups.google.com,company,results_llama3.2_prompt_4_metadata
http://iba-world.com,company,results_llama3.2_prompt_4_metadata
http://id.loc.gov,govt,results_llama3.2_prompt_4_metadata
http://identifiers.org,nw,results_llama3.2_prompt_4_metadata
http://independentlibraries.co.uk,company,results_llama3.2_prompt_4_metadata
http://instagram.com,company,results_llama3.2_prompt_4_metadata
http://itunes.apple.com,company,results_llama3.2_prompt_4_metadata
http://killiefc.com,company,results_llama3.2_prompt_4_metadata
http://lawandorder.wikia.com,company,results_llama3.2_prompt_4_metadata
http://leonocusto.blog66.fc2.com,sp_source,results_llama3.2_prompt_4_metadata
http://library.la84.org,company,results_llama3.2_prompt_4_metadata
http://library.leeds.ac.uk,company,results_llama3.2_prompt_4_metadata
http://lists.alioth.debian.org,company,results_llama3.2_prompt_4_metadata
http://lists.claws-mail.org,nw,results_llama3.2_prompt_4_metadata
http://lists.freebsd.org,govt,results_llama3.2_prompt_4_metadata
http://lists.nongnu.org,sp_source,results_llama3.2_prompt_4_metadata
http://lists.torproject.org,company,results_llama3.2_prompt_4_metadata
http://m.timesofindia.com,company,results_llama3.2_prompt_4_metadata
http://mail-archives.apache.org,govt,results_llama3.2_prompt_4_metadata
http://movie-locations.com,company,results_llama3.2_prompt_4_metadata
http://movieweb.com,company,results_llama3.2_prompt_4_metadata
http://mpse.org,company,results_llama3.2_prompt_4_metadata
http://museedelaresistanceenligne.org,sp_source,results_llama3.2_prompt_4_metadata
http://nablus.org,company,results_llama3.2_prompt_4_metadata
http://new.liveauctioneers.com,company,results_llama3.2_prompt_4_metadata
http://olat.org,company,results_llama3.2_prompt_4_metadata
http://phoronix.com,company,results_llama3.2_prompt_4_metadata
http://planetarynames.wr.usgs.gov,govt,results_llama3.2_prompt_4_metadata
http://pubchem.ncbi.nlm.nih.gov,company,results_llama3.2_prompt_4_metadata
http://puppet.com,company,results_llama3.2_prompt_4_metadata
http://ratings.fide.com,company,results_llama3.2_prompt_4_metadata
http://runeberg.org,company,results_llama3.2_prompt_4_metadata
http://sourceforge.net,company,results_llama3.2_prompt_4_metadata
http://spamassassin.apache.org,company,results_llama3.2_prompt_4_metadata
http://specialcollections.le.ac.uk,company,results_llama3.2_prompt_4_metadata
http://speedskatingstats.com,company,results_llama3.2_prompt_4_metadata
http://splitsider.com,company,results_llama3.2_prompt_4_metadata
http://sports.yahoo.com,company,results_llama3.2_prompt_4_metadata
http://support.google.com,company,results_llama3.2_prompt_4_metadata
http://thedancingrest.com,company,results_llama3.2_prompt_4_metadata
http://tools.ietf.org,company,results_llama3.2_prompt_4_metadata
http://uk.soccerway.com,company,results_llama3.2_prompt_4_metadata
http://viaf.org,company,results_llama3.2_prompt_4_metadata
http://vimeo.com,company,results_llama3.2_prompt_4_metadata
http://vocab.getty.edu,company,results_llama3.2_prompt_4_metadata
http://wbo.llgc.org.uk,company,results_llama3.2_prompt_4_metadata
http://web.archive.org,nw,results_llama3.2_prompt_4_metadata
http://welt-der-form.net,company,results_llama3.2_prompt_4_metadata
http://whc.unesco.org,company,results_llama3.2_prompt_4_metadata
http://www.4shared.com,company,results_llama3.2_prompt_4_metadata
http://www.aada.edu,company,results_llama3.2_prompt_4_metadata
http://www.allmusic.com,company,results_llama3.2_prompt_4_metadata
http://www.arabianbusiness.com,company,results_llama3.2_prompt_4_metadata
http://www.archive.org,company,results_llama3.2_prompt_4_metadata
http://www.archlinux.org,company,results_llama3.2_prompt_4_metadata
http://www.artistdirect.com,company,results_llama3.2_prompt_4_metadata
http://www.artsjournal.com,company,results_llama3.2_prompt_4_metadata
http://www.audacityteam.org,company,results_llama3.2_prompt_4_metadata
http://www.bbc.co.uk,company,results_llama3.2_prompt_4_metadata
http://www.billgladstone.ca,company,results_llama3.2_prompt_4_metadata
http://www.bindingdb.org,company,results_llama3.2_prompt_4_metadata
http://www.bizjournals.com,company,results_llama3.2_prompt_4_metadata
http://www.blackfilm.com,company,results_llama3.2_prompt_4_metadata
http://www.blakeschool.org,company,results_llama3.2_prompt_4_metadata
http://www.blend4web.com,company,results_llama3.2_prompt_4_metadata
http://www.boxofficemojo.com,company,results_llama3.2_prompt_4_metadata
http://www.bristol.ac.uk,company,results_llama3.2_prompt_4_metadata
http://www.britannica.com,company,results_llama3.2_prompt_4_metadata
http://www.brooklynmuseum.org,company,results_llama3.2_prompt_4_metadata
http://www.bvbinfo.com,company,results_llama3.2_prompt_4_metadata
http://www.canada.com,company,results_llama3.2_prompt_4_metadata
http://www.catholic-hierarchy.org,company,results_llama3.2_prompt_4_metadata
http://www.cb300.com,company,results_llama3.2_prompt_4_metadata
http://www.cdbaby.com,company,results_llama3.2_prompt_4_metadata
http://www.census.gov,govt,results_llama3.2_prompt_4_metadata
http://www.ciaaw.org,company,results_llama3.2_prompt_4_metadata
http://www.clsp.jhu.edu,company,results_llama3.2_prompt_4_metadata
http://www.coolantarctica.com,company,results_llama3.2_prompt_4_metadata
http://www.crawltrack.net,company,results_llama3.2_prompt_4_metadata
http://www.crunchbase.com,company,results_llama3.2_prompt_4_metadata
http://www.dbnl.org,company,results_llama3.2_prompt_4_metadata
http://www.debian.org,company,results_llama3.2_prompt_4_metadata
http://www.demotix.com,company,results_llama3.2_prompt_4_metadata
http://www.dubaicityguide.com,company,results_llama3.2_prompt_4_metadata
http://www.e-yearbook.com,company,results_llama3.2_prompt_4_metadata
http://www.edanhughes.com,company,results_llama3.2_prompt_4_metadata
http://www.entente-ee.com,company,results_llama3.2_prompt_4_metadata
http://www.esrb.org,company,results_llama3.2_prompt_4_metadata
http://www.eurodressage.com,company,results_llama3.2_prompt_4_metadata
http://www.eurohandball.com,company,results_llama3.2_prompt_4_metadata
http://www.europarl.europa.eu,govt,results_llama3.2_prompt_4_metadata
http://www.filmovizija.com,company,results_llama3.2_prompt_4_metadata
http://www.filmreference.com,company,results_llama3.2_prompt_4_metadata
http://www.fromages-aop.com,company,results_llama3.2_prompt_4_metadata
http://www.fundacionbancosantander.com,company,results_llama3.2_prompt_4_metadata
http://www.futhead.com,company,results_llama3.2_prompt_4_metadata
http://www.gc-cup.com,company,results_llama3.2_prompt_4_metadata
http://www.geni.com,company,results_llama3.2_prompt_4_metadata
http://www.genome.gov,govt,results_llama3.2_prompt_4_metadata
http://www.geopostcodes.com,company,results_llama3.2_prompt_4_metadata
http://www.getty.edu,company,results_llama3.2_prompt_4_metadata
http://www.gmv.com,company,results_llama3.2_prompt_4_metadata
http://www.gracesguide.co.uk,company,results_llama3.2_prompt_4_metadata
http://www.guggenheim.org,company,results_llama3.2_prompt_4_metadata
http://www.hardcoregamer.com,company,results_llama3.2_prompt_4_metadata
http://www.henry-moore.org,company,results_llama3.2_prompt_4_metadata
http://www.hewlett.org,company,results_llama3.2_prompt_4_metadata
http://www.huffingtonpost.com,company,results_llama3.2_prompt_4_metadata
http://www.independent.co.uk,company,results_llama3.2_prompt_4_metadata
http://www.instagram.com,company,results_llama3.2_prompt_4_metadata
http://www.issf-sports.org,company,results_llama3.2_prompt_4_metadata
http://www.ittf.com,company,results_llama3.2_prompt_4_metadata
http://www.itu.int,company,results_llama3.2_prompt_4_metadata
http://www.johnkcastle.com,company,results_llama3.2_prompt_4_metadata
http://www.jrrio.com,company,results_llama3.2_prompt_4_metadata
http://www.judoinside.com,company,results_llama3.2_prompt_4_metadata
http://www.kde.org,company,results_llama3.2_prompt_4_metadata
http://www.khronos.org,company,results_llama3.2_prompt_4_metadata
http://www.laquadrature.net,sp_source,results_llama3.2_prompt_4_metadata
http://www.leparcorama.com,company,results_llama3.2_prompt_4_metadata
http://www.leshommessansepaules.com,sp_source,results_llama3.2_prompt_4_metadata
http://www.liferay.com,company,results_llama3.2_prompt_4_metadata
http://www.livius.org,company,results_llama3.2_prompt_4_metadata
http://www.lulu.com,company,results_llama3.2_prompt_4_metadata
http://www.lynnnews.co.uk,company,results_llama3.2_prompt_4_metadata
http://www.mba.ac.uk,company,results_llama3.2_prompt_4_metadata
http://www.metalstorm.net,company,results_llama3.2_prompt_4_metadata
http://www.metmuseum.org,company,results_llama3.2_prompt_4_metadata
http://www.microsofttranslator.com,company,results_llama3.2_prompt_4_metadata
http://www.mozilla.org,company,results_llama3.2_prompt_4_metadata
http://www.nationalgallery.org.uk,company,results_llama3.2_prompt_4_metadata
http://www.nationaltrustcollections.org.uk,company,results_llama3.2_prompt_4_metadata
http://www.ncbi.nlm.nih.gov,govt,results_llama3.2_prompt_4_metadata
http://www.newyorker.com,company,results_llama3.2_prompt_4_metadata
http://www.nfl.com,company,results_llama3.2_prompt_4_metadata
http://www.nga.gov,company,results_llama3.2_prompt_4_metadata
http://www.nndb.com,company,results_llama3.2_prompt_4_metadata
http://www.nndc.bnl.gov,govt,results_llama3.2_prompt_4_metadata
http://www.nytimes.com,news,results_llama3.2_prompt_4_metadata
http://www.openvas.org,company,results_llama3.2_prompt_4_metadata
http://www.pafa.org,company,results_llama3.2_prompt_4_metadata
http://www.parlement.com,company,results_llama3.2_prompt_4_metadata
http://www.pastscape.org.uk,company,results_llama3.2_prompt_4_metadata
http://www.phillipscollection.org,company,results_llama3.2_prompt_4_metadata
http://www.planetehockey.com,company,results_llama3.2_prompt_4_metadata
http://www.poetsgraves.co.uk,company,results_llama3.2_prompt_4_metadata
http://www.procyclingstats.com,company,results_llama3.2_prompt_4_metadata
http://www.profilecanada.com,company,results_llama3.2_prompt_4_metadata
http://www.progarchives.com,company,results_llama3.2_prompt_4_metadata
http://www.rada.ac.uk,company,results_llama3.2_prompt_4_metadata
http://www.redorbit.com,company,results_llama3.2_prompt_4_metadata
http://www.rhapsody.com,company,results_llama3.2_prompt_4_metadata
http://www.rio2016.com,company,results_llama3.2_prompt_4_metadata
http://www.salvador-dali.org,company,results_llama3.2_prompt_4_metadata
http://www.salzburg.com,company,results_llama3.2_prompt_4_metadata
http://www.scottisharchitects.org.uk,company,results_llama3.2_prompt_4_metadata
http://www.sothebys.com,company,results_llama3.2_prompt_4_metadata
http://www.sufyanismail.com,company,results_llama3.2_prompt_4_metadata
http://www.telegraph.co.uk,company,results_llama3.2_prompt_4_metadata
http://www.thegazette.co.uk,company,results_llama3.2_prompt_4_metadata
http://www.thestar.com,company,results_llama3.2_prompt_4_metadata
http://www.thetalentmanager.co.uk,company,results_llama3.2_prompt_4_metadata
http://www.thetelegraphandargus.co.uk,news,results_llama3.2_prompt_4_metadata
http://www.thnk.org,company,results_llama3.2_prompt_4_metadata
http://www.transsiberianexpress.net,company,results_llama3.2_prompt_4_metadata
http://www.unesco.org,company,results_llama3.2_prompt_4_metadata
http://www.valpo.edu,company,results_llama3.2_prompt_4_metadata
http://www.vanitatis.elconfidencial.com,company,results_llama3.2_prompt_4_metadata
http://www.viaf.org,company,results_llama3.2_prompt_4_metadata
http://www.virtualbox.org,company,results_llama3.2_prompt_4_metadata
