domain,publisher_verification
http://man.9front.org,ne
http://marvel.com,yes
http://moma.org,cultural
http://movie-locations.com,ne
http://movieweb.com,ne
http://mpse.org,ne
http://new.liveauctioneers.com,ne
http://olat.org,ne
http://oneprocycling.com,ne
http://online.wsj.com,trad_news
http://oxfordindex.oup.com,trad_news
http://peerj.com,trad_news
http://phoronix.com,trad_news
http://planetarynames.wr.usgs.gov,yes
http://pubchem.ncbi.nlm.nih.gov,ne
http://puppet.com,vendor
http://ratings.fide.com,trad_news
http://runeberg.org,yes
http://sites.asiasociety.org,trad_news
http://sourceforge.net,yes
http://spamassassin.apache.org,trad_news
http://speedskatingstats.com,ne
http://splitsider.com,no
http://sports.yahoo.com,trad_news
http://support.google.com,trad_news
http://thebloxwichtelegraph.com,ne
http://thedancingrest.com,ne
http://tools.ietf.org,trad_news
http://twitter.com,no_profit
http://uk.soccerway.com,nw
http://viaf.org,ne
http://vimeo.com,trad_news
http://vk.com,no_profit
http://vocab.getty.edu,ne
http://web.archive.org,nw
http://wevegotyoucovered.buzznet.com,ne
http://whc.unesco.org,ne
http://www-history.mcs.st-andrews.ac.uk,trad_news
http://www.4shared.com,nw
http://www.aada.edu,no_profit
http://www.allmusic.com,vendor
http://www.annualreviews.org,trad_news
http://www.arabianbusiness.com,trad_news
http://www.archive.org,yes
http://www.archlinux.org,trad_news
http://www.artic.edu,cultural
http://www.artistdirect.com,trad_news
http://www.artsbma.org,cultural
http://www.artsjournal.com,non_trad_news
http://www.audacityteam.org,ne
http://www.badmintonlink.com,ne
http://www.bbc.co.uk,trad_news
http://www.billgladstone.ca,ne
http://www.bindingdb.org,ne
http://www.bizjournals.com,trad_news
http://www.blackfilm.com,trad_news
http://www.blakeschool.org,trad_news
http://www.blend4web.com,ne
http://www.boxofficemojo.com,trad_news
http://www.bristol.ac.uk,trad_news
http://www.britannica.com,trad_news
http://www.britishlistedbuildings.co.uk,trad_news
http://www.britishmuseum.org,cultural
http://www.brooklynmuseum.org,cultural
http://www.businessinsider.com,trad_news
http://www.bvbinfo.com,ne
http://www.canada.com,trad_news
http://www.catholic-hierarchy.org,trad_news
http://www.cb300.com,ne
http://www.cdbaby.com,ne
http://www.census.gov,trad_news
http://www.ciaaw.org,no_profit
http://www.cineplex.com,trad_news
http://www.clsp.jhu.edu,trad_news
http://www.coolantarctica.com,no_profit
http://www.crawltrack.net,ne
http://www.crunchbase.com,yes
http://8tracks.com,ne
http://addons.mozilla.org,ne
http://akas.imdb.com,ne
http://americanart.si.edu,cultural
http://amturing.acm.org,ne
http://archive.org,ne
http://art.famsf.org,cultural
http://backuppc.cvs.sourceforge.net,ne
http://bbfc.co.uk,ne
http://bbti.bodleian.ox.ac.uk,ne
http://blog.mathieui.net,non_trad_news
http://blog.process-one.net,no_profit
http://blog.torproject.org,non_trad_news
http://blogs.windows.com,non_trad_news
http://books.google.co.uk,yes
http://brightlightsfilm.com,ne
http://chem.nlm.nih.gov,yes
http://chibi.ubc.ca,ne
http://classify.oclc.org,ne
http://collection.cooperhewitt.org,cultural
http://collections.artsmia.org,cultural
http://collections.britishart.yale.edu,cultural
http://collections.lacma.org,cultural
http://commons.wikimedia.org,yes
http://daccess-ods.un.org,trad_news
http://data.ordnancesurvey.co.uk,ne
http://directory.fsf.org,ne
http://electronicintifada.net,non_trad_news
http://en.mediamass.net,no_profit
http://en.wikisource.org,yes
http://eprints.lancs.ac.uk,academia_uni
http://equipboard.com,ne
http://espn.go.com,trad_news
http://europeana.eu,cultural
http://factfinder.census.gov,trad_news
http://fdrmx.com,nw
http://fedoraproject.org,yes
http://feed.snapdo.com,nw
http://ffilms.org,ne
http://fie.org,ne
http://figshare.com,trad_news
http://firstcycling.com,no_profit
http://flymotorsich.com,ne
http://fmg.ac,ne
http://forum.mql4.com,ne
http://forums.comodo.com,ne
http://fossilworks.org,ne
http://freemind.sourceforge.net,ne
http://ftp.debian-ports.org,trad_news
http://genealogy.az.gov,nw
http://geonames.usgs.gov,no_profit
http://git.gnome.org,yes
http://git.kernel.org,trad_news
http://github.com,trad_news
http://groups.google.com,no_profit
http://hansard.millbanksystems.com,ne
http://hg.mozilla.org,ne
http://iba-world.com,ne
http://id.loc.gov,ne
http://identifiers.org,ne
http://iditarod.com,trad_news
http://independentlibraries.co.uk,nw
http://instagram.com,ne
http://itunes.apple.com,vendor
http://killiefc.com,nw
http://lawandorder.wikia.com,ne
http://library.la84.org,trad_news
http://lists.alioth.debian.org,nw
http://lists.freebsd.org,trad_news
http://lists.gnu.org,trad_news
http://lists.netfilter.org,trad_news
http://lists.nongnu.org,ne
http://lists.torproject.org,yes
http://m.timesofindia.com,trad_news
http://mail-archives.apache.org,trad_news
http://man.9front.org,ne
http://marvel.com,trad_news
http://moma.org,cultural
http://movie-locations.com,ne
http://movieweb.com,ne
http://mpse.org,ne
http://new.liveauctioneers.com,no_profit
http://olat.org,ne
http://oneprocycling.com,ne
http://online.wsj.com,trad_news
http://oxfordindex.oup.com,trad_news
http://peerj.com,trad_news
http://phoronix.com,trad_news
http://planetarynames.wr.usgs.gov,yes
http://pubchem.ncbi.nlm.nih.gov,trad_news
http://puppet.com,trad_news
http://ratings.fide.com,no_profit
http://runeberg.org,cultural
http://sites.asiasociety.org,no_profit
http://sourceforge.net,ne
http://spamassassin.apache.org,trad_news
http://speedskatingstats.com,ne
http://splitsider.com,ne
http://sports.yahoo.com,ne
http://support.google.com,trad_news
http://thebloxwichtelegraph.com,trad_news
http://thedancingrest.com,ne
http://tools.ietf.org,ne
http://twitter.com,yes
http://uk.soccerway.com,yes
http://viaf.org,ne
http://vimeo.com,no_profit
http://vk.com,ne
http://vocab.getty.edu,ne
http://web.archive.org,ne
http://wevegotyoucovered.buzznet.com,ne
http://whc.unesco.org,no_profit
http://www-history.mcs.st-andrews.ac.uk,trad_news
http://www.4shared.com,ne
http://www.aada.edu,trad_news
http://www.allmusic.com,no_profit
http://www.annualreviews.org,trad_news
http://www.arabianbusiness.com,trad_news
http://www.archive.org,trad_news
http://www.archlinux.org,ne
http://www.artic.edu,cultural
http://www.artistdirect.com,vendor
http://www.artsbma.org,ne
http://www.artsjournal.com,no_profit
http://www.audacityteam.org,nw
http://www.badmintonlink.com,ne
http://www.bbc.co.uk,trad_news
http://www.billgladstone.ca,ne
http://www.bindingdb.org,ne
http://www.bizjournals.com,trad_news
http://www.blackfilm.com,ne
http://www.blakeschool.org,ne
http://www.blend4web.com,ne
http://www.boxofficemojo.com,trad_news
http://www.bristol.ac.uk,trad_news
http://www.britannica.com,trad_news
http://www.britishlistedbuildings.co.uk,trad_news
http://www.britishmuseum.org,cultural
http://www.brooklynmuseum.org,cultural
http://www.businessinsider.com,trad_news
http://www.bvbinfo.com,ne
http://www.canada.com,trad_news
http://www.catholic-hierarchy.org,yes
http://www.cb300.com,nw
http://www.cdbaby.com,vendor
http://www.census.gov,trad_news
http://www.ciaaw.org,no_profit
http://www.cineplex.com,nw
http://www.clsp.jhu.edu,trad_news
http://www.coolantarctica.com,non_trad_news
http://www.crawltrack.net,no_trad_news
http://www.crunchbase.com,no_profit
http://www.culturalheritage.gov.mt,yes
http://www.cyclingnews.com,trad_news
http://www.darkhorse.com,ne
http://www.debian.org,yes
http://www.discogs.com,yes
http://www.dnw.co.uk,nw
http://www.dubaicityguide.com,nw
http://www.dulwichpicturegallery.org.uk,cultural
http://www.e-yearbook.com,nw
http://www.edanhughes.com,ne
http://www.entente-ee.com,ne
http://www.esrb.org,nw
http://www.eurodressage.com,trad_news
http://www.eurohandball.com,trad_news
http://www.europarl.europa.eu,political
http://www.fifa.com,trad_news
http://www.fifthharmonyofficial.com,ne
http://www.filmreference.com,no_profit
http://www.findagrave.com,ne
http://www.fivb.org,trad_news
http://www.fundacionbancosantander.com,trad_news
http://www.futhead.com,nw
http://www.fye.com,ne
http://www.gc-cup.com,nw
http://www.genealogy.math.ndsu.nodak.edu,ne
http://www.genome.gov,trad_news
http://www.geonames.org,ne
http://www.geopostcodes.com,nw
http://www.getty.edu,no_profit
http://www.ghostscript.com,yes
http://www.gmv.com,no_profit
http://www.gracesguide.co.uk,trad_news
http://www.guggenheim.org,cultural
http://www.hardcoregamer.com,trad_news
http://www.henry-moore.org,cultural
http://www.hermitagemuseum.org,cultural
http://www.hewlett.org,nw
http://www.historicengland.org.uk,yes
http://www.historyofparliamentonline.org,no_profit
http://www.hmdb.ca,nw
http://www.holyhead.com,ne
http://www.huffingtonpost.com,trad_news
http://www.ibdb.com,yes
http://www.icheckmovies.com,non_trad_news
http://www.imaginenews.com,ne
http://www.imdb.com,trad_news
http://www.independent.co.uk,trad_news
http://www.infoplease.com,trad_news
http://www.instagram.com,no
http://www.issf-sports.org,ne
http://www.ittf.com,nw
http://www.itu.int,ne
http://www.johnkcastle.com,ne
http://www.jrrio.com,ne
http://www.judoinside.com,ne
http://www.jukely.com,nw
http://www.kde.org,ne
http://www.khronos.org,ne
http://www.laquadrature.net,ne
http://www.legacy.com,no_profit
http://www.leparcorama.com,ne
http://www.liferay.com,trad_news
http://www.liveleak.com,non_trad_news
http://www.livius.org,nw
http://www.lulu.com,nw
http://www.lutyenstrust.org.uk,no_profit
http://www.lynnnews.co.uk,trad_news
http://www.mba.ac.uk,trad_news
http://www.metacritic.com,trad_news
http://www.metalstorm.net,ne
http://www.metmuseum.org,cultural
http://www.mfa.org,trad_news
http://www.microsofttranslator.com,ne
http://www.moma.org,cultural
http://www.mozilla.org,yes
http://www.music-bazaar.com,nw
http://www.nationalgallery.org.uk,cultural
http://www.nationaltrustcollections.org.uk,yes
http://www.ncbi.nlm.nih.gov,trad_news
http://www.newyorker.com,trad_news
http://www.nfl.com,trad_news
http://www.nga.gov,no_profit
http://www.nme.com,trad_news
http://www.nndb.com,no_profit
http://www.nndc.bnl.gov,trad_news
http://www.nytimes.com,trad_news
http://www.ofcom.org.uk,trad_news
http://www.opensubtitles.org,ne
http://www.openvas.org,trad_news
http://www.oregonencyclopedia.org,ne
http://www.oxforddnb.com,trad_news
http://www.oxfordmusiconline.com,trad_news
http://www.pafa.org,no_profit
http://www.pastscape.org.uk,trad_news
http://www.philamuseum.org,cultural
http://www.phillipscollection.org,cultural
http://www.poetsgraves.co.uk,cultural
http://www.procyclingstats.com,trad_news
http://www.profilecanada.com,nw
http://www.progarchives.com,yes
http://www.pulitzer.org,trad_news
http://www.rada.ac.uk,nw
http://www.redmine.org,trad_news
http://www.redorbit.com,trad_news
http://www.rhapsody.com,ne
http://www.rio2016.com,no_profit
http://www.rollingstone.com,trad_news
http://www.royalcollection.org.uk,cultural
http://www.salvador-dali.org,cultural
http://www.scottisharchitects.org.uk,trad_news
http://www.sctimes.com,trad_news
http://www.sothebys.com,trad_news
http://www.speedskatingbase.eu,ne
http://www.sports-reference.com,trad_news
http://www.star-ecentral.com,ne
http://www.sufyanismail.com,ne
http://www.telegraph.co.uk,trad_news
http://www.thecalmzone.net,nw
http://www.thegazette.co.uk,trad_news
http://www.theguardian.com,trad_news
http://www.thestar.com,trad_news
http://www.thetalentmanager.co.uk,nw
http://www.thetelegraphandargus.co.uk,trad_news
http://www.thnk.org,no_profit
http://www.transsiberianexpress.net,ne
http://www.tsmc.com,ne
http://www.tvfestival.com,trad_news
http://www.unece.org,trad_news
http://www.unesco.org,trad_news
http://www.valpo.edu,no_profit
http://www.viaf.org,no_profit
http://www.virtualbox.org,ne
http://www.washingtonpost.com,trad_news
http://www.webcitation.org,ne
http://www.who.int,no_profit
http://www.wireshark.org,no_profit
http://www.yesasia.com,yes
http://www2.census.gov,yes
http://yabause.org,no_profit
http://yba.llgc.org.uk,ne
http://yum.baseurl.org,ne
